Localidade,Católica,Espírita/Espiritualista,Evangelica_Missionaria,Evangelica_Outras,Evangelica_Pentecostal,Outras religiões,Religiões Matriz Africana,Religiões Orientais,Sem religião / não sabe,Tradições indígenas
Lago dos Rodrigues,6757,0,146,26,578,6,0,0,282,0
Lagoa Grande do Maranhão,8315,0,71,65,1168,0,0,0,898,0
Lagoa do Mato,10202,0,221,5,268,10,0,0,227,0
Lajeado Novo,4928,3,235,5,1312,6,0,0,433,0
Lima Campos,8770,0,770,254,927,0,92,5,651,0
Loreto,10783,0,18,38,523,0,0,0,28,0
Luís Domingues,4522,0,114,17,1318,4,0,2,532,0
Magalhães de Almeida,14301,15,60,3,1971,47,34,0,1175,0
Maracaçumé,12247,8,1087,65,3837,87,0,0,1823,0
Marajá do Sena,6808,0,10,14,915,3,0,0,302,0
Maranhãozinho,9906,7,490,84,1496,5,0,0,2076,0
Mata Roma,12957,0,263,17,1558,56,0,0,299,0
Matinha,16387,11,714,565,2399,9,0,0,1801,0
Matões,27298,9,546,12,1768,35,40,0,1284,0
Matões do Norte,12673,0,237,15,837,9,0,0,23,0
Milagres do Maranhão,7493,3,91,0,511,0,0,0,21,0
Mirador,16510,0,385,102,1075,54,0,0,2303,0
Miranda do Norte,17841,0,1558,79,2713,120,0,19,2098,0
Mirinzal,10856,0,296,224,1326,323,0,60,1132,0
Montes Altos,7219,0,262,160,1269,14,0,0,383,107
Monção,23499,0,1865,0,2835,33,67,0,3473,0
Morros,13989,0,652,358,1639,70,0,3,1072,0
Nina Rodrigues,10287,7,772,67,869,0,0,0,461,0
Nova Colinas,4384,0,2,26,412,0,0,0,61,0
Nova Iorque,3318,0,162,28,106,0,0,0,976,0
Nova Olinda do Maranhão,13070,0,797,70,3561,11,0,0,1625,0
Olho d'Água das Cunhãs,16228,0,465,78,1050,149,8,0,628,0
Olinda Nova do Maranhão,8370,0,230,24,2275,62,10,0,2213,0
Palmeirândia,15788,0,193,19,1486,10,0,0,1267,0
Paraibano,16372,0,418,36,1280,109,0,0,1889,0
Parnarama,30174,0,597,120,1837,113,20,0,1737,0
Passagem Franca,13816,0,205,125,860,41,0,0,2514,0
Pastos Bons,14919,0,428,43,745,0,12,0,1927,0
Paulino Neves,9888,0,960,9,1917,0,0,0,1747,0
Paulo Ramos,14479,0,550,147,2611,22,18,0,2260,0
Paço do Lumiar,66927,460,9996,4413,13462,1223,492,362,8033,0
Pedreiras,30441,129,1845,1063,4629,45,0,20,1276,0
Pedro do Rosário,18040,0,345,118,2788,0,14,0,1434,0
Penalva,24928,25,1406,72,3286,103,0,0,4447,0
Peri Mirim,11536,25,419,75,951,18,0,0,779,0
Peritoró,16885,0,1105,16,943,12,48,6,2209,0
Pindaré-Mirim,23563,0,1214,43,3535,122,496,0,2428,0
Pinheiro,60121,175,2629,1643,8409,232,0,92,4860,0
Pio XII,17598,0,416,198,1911,119,0,0,1774,0
Pirapemas,15160,15,575,55,993,120,68,0,428,0
Porto Franco,15990,300,840,382,2821,62,0,0,1134,0
Porto Rico do Maranhão,3039,0,58,334,640,30,6,0,1926,0
Poção de Pedras,16097,21,255,217,2394,51,0,0,673,0
Presidente Dutra,34468,0,2558,1067,4239,78,0,0,2319,0
Presidente Juscelino,8881,0,579,36,1317,10,0,0,717,0
Presidente Médici,4703,0,54,55,1328,4,0,0,230,0
Presidente Sarney,12693,0,661,43,2058,5,0,0,1704,0
Presidente Vargas,9665,0,110,141,747,0,0,0,54,0
Primeira Cruz,12579,0,269,82,514,36,0,0,475,0
Raposa,13992,93,1153,620,5513,437,0,21,4498,0
Riachão,16995,0,156,284,2262,12,0,0,500,0
Ribamar Fiquene,5878,6,178,33,856,11,0,0,356,0
Rosário,29976,71,1995,690,3931,114,4,6,2790,0
Sambaíba,4920,0,177,25,358,0,0,0,7,0
Santa Filomena do Maranhão,6453,4,126,63,357,0,0,0,60,0
Santa Helena,28255,9,730,333,5970,88,153,16,3633,0
Santa Inês,55431,227,3653,1230,11907,258,208,22,4440,10
Santa Luzia,60443,0,1079,922,9151,44,0,0,2403,0
Santa Luzia do Paruá,15575,0,575,0,4290,30,0,0,2074,0
Santa Quitéria do Maranhão,26185,0,290,0,1843,111,0,0,762,0
Santa Rita,25078,8,1525,189,2953,60,40,91,2442,0
Santana do Maranhão,7821,6,160,80,743,0,0,0,2851,0
Santo Amaro do Maranhão,10747,0,916,79,791,4,0,0,1283,0
Santo Antônio dos Lopes,12004,0,125,297,1440,77,0,0,345,0
Satubinha,10541,0,43,845,379,21,0,0,161,0
Senador Alexandre Costa,8910,0,78,20,1142,0,0,0,106,0
Senador La Rocque,12992,19,720,101,2884,5,0,6,1271,0
Serrano do Maranhão,7975,0,346,36,841,69,62,17,1625,0
Sucupira do Norte,8622,0,123,99,618,0,0,0,982,0
Sucupira do Riachão,3854,3,38,2,149,6,0,0,560,0
São Benedito do Rio Preto,15114,0,360,121,1834,31,0,0,340,0
São Bento,33007,34,1265,167,3691,47,0,11,2513,0
São Bernardo,22015,0,663,116,2391,152,0,0,1139,0
São Domingos do Azeitão,6202,3,131,37,382,14,0,0,213,0
São Domingos do Maranhão,26644,0,1829,1074,2062,175,0,0,1822,0
São Francisco do Brejão,7305,7,196,108,1950,37,0,0,657,0
São Francisco do Maranhão,9613,0,142,258,425,33,0,0,1674,0
São Félix de Balsas,4145,0,3,48,502,0,0,0,4,0
São José de Ribamar,102750,710,10748,6956,24449,1351,400,365,15515,0
São José dos Basílios,6108,0,154,41,604,0,0,0,589,0
São João Batista,16327,0,198,255,1844,12,0,0,1284,0
São João do Carú,9083,0,553,0,2115,0,0,0,558,0
São João do Paraíso,7735,0,473,50,2018,0,16,0,530,0
São João do Soter,12166,0,560,23,874,5,88,0,3566,0
São João dos Patos,20523,49,1099,0,839,185,0,0,2233,0
São Luís,673198,6611,69247,45009,129345,6634,2331,1689,81794,131
São Luís Gonzaga do Maranhão,17808,0,200,373,1329,3,12,0,432,0
São Mateus do Maranhão,29309,0,1516,410,5698,201,32,0,1944,0
São Pedro da Água Branca,9276,103,532,105,1377,6,38,0,610,0
São Pedro dos Crentes,1827,3,15,81,2241,0,0,0,258,0
São Raimundo das Mangabeiras,15281,0,661,174,1103,68,0,0,186,0
São Raimundo do Doca Bezerra,5423,0,10,29,579,0,0,0,51,0
São Roberto,5542,0,20,21,342,0,0,0,32,0
São Vicente Ferrer,13628,0,300,408,2257,0,0,0,4270,0
Sítio Novo,13290,5,107,126,3126,0,0,0,348,0
Tasso Fragoso,6849,0,136,39,731,0,0,0,41,0
Timbiras,24041,0,354,634,1458,31,0,0,1478,0
Timon,122147,765,5229,2113,13162,1597,402,104,10140,0
Trizidela do Vale,16248,11,520,656,1260,0,0,0,258,0
Tufilândia,4989,0,34,84,429,2,58,0,29,0
Tuntum,32227,0,798,746,3772,355,0,0,1285,0
Turiaçu,25838,0,481,239,4737,102,0,0,2535,0
Turilândia,15897,0,474,115,3935,0,6,0,2422,0
Tutóia,40290,18,2647,367,4283,215,54,3,4938,0
Urbano Santos,21503,0,598,276,1578,70,0,0,548,0
Vargem Grande,44920,24,453,218,2579,90,32,7,1105,0
Viana,36370,0,3187,395,5532,140,62,0,3842,0
Vila Nova dos Martírios,8062,0,418,58,1467,18,0,0,1235,0
Vitorino Freire,25347,0,767,555,3088,66,0,0,1834,0
Vitória do Mearim,22930,36,1300,219,5536,100,52,0,1070,0
Zé Doca,37669,11,2297,235,7170,132,58,124,2507,0
Água Doce do Maranhão,9839,0,277,23,639,0,0,0,803,0
